"Id","DisplayName"
"5c4f9dcd-47dc-4cf7-8c9a-9e4207cbfc91","Customer LockBox Access Approver"
"44367163-eba1-44c3-98af-f5787879f96a","Dynamics 365 Administrator"
"a9ea8996-122f-4c74-9520-8edcd192826c","Fabric Administrator"
"b1be1c3e-b65d-4f19-8427-f6fa0d97feb9","Conditional Access Administrator"
"4a5d8f65-41da-4de4-8968-e035b65339cf","Reports Reader"
"790c1fb9-7f7d-4f88-86a1-ef1f95c05c1b","Message Center Reader"
"7495fdc4-34c4-4d15-a289-98788ce399fd","Azure Information Protection Administrator"
"38a96431-2bdf-4b4c-8b6e-5d3d8abac1a4","Desktop Analytics Administrator"
"4d6ac14f-3453-41d0-bef9-a3e0c569773a","License Administrator"
"7698a772-787b-4ac8-901f-60d6b08affd2","Cloud Device Administrator"
"c4e39bd9-1100-46d3-8c65-fb160da0071f","Authentication Administrator"
"7be44c8a-adaf-4e2a-84d6-ab2649e08a13","Privileged Authentication Administrator"
"baf37b3a-610e-45da-9e62-d9d1e5e8914b","Teams Communications Administrator"
"f70938a0-fc10-4177-9e90-2178f8765737","Teams Communications Support Engineer"
"fcf91098-03e3-41a9-b5ba-6f0ec8188a12","Teams Communications Support Specialist"
"69091246-20e8-4a56-aa4d-066075b2a7a8","Teams Administrator"
"eb1f4a8d-243a-41f0-9fbd-c7cdf6c5ef7c","Insights Administrator"
"ac16e43d-7b2d-40e0-ac05-243ff356ab5b","Message Center Privacy Reader"
"6e591065-9bad-43ed-90f3-e9424366d2f0","External ID User Flow Administrator"
"0f971eea-41eb-4569-a71e-57bb8a3eff1e","External ID User Flow Attribute Administrator"
"aaf43236-0c0d-4d5f-883a-6955382ac081","B2C IEF Keyset Administrator"
"3edaf663-341e-4475-9f94-5c398ef6c070","B2C IEF Policy Administrator"
"be2f45a1-457d-42af-a067-6ec1fa63bc45","External Identity Provider Administrator"
"e6d1a23a-da11-4be4-9570-befc86d067a7","Compliance Data Administrator"
"5f2222b1-57c3-48ba-8ad5-d4759f1fde6f","Security Operator"
"74ef975b-6605-40af-a5d2-b9539d836353","Kaizala Administrator"
"f2ef992c-3afb-46b9-b7cf-a126ee74c451","Global Reader"
"0964bb5e-9bdb-4d7b-ac29-58e794862a40","Search Administrator"
"8835291a-918c-4fd7-a9ce-faa49f0cf7d9","Search Editor"
"966707d0-3269-4727-9be2-8c3a10f19b9d","Password Administrator"
"644ef478-e28f-4e28-b9dc-3fdde9aa0b1f","Printer Administrator"
"e8cef6f1-e4bd-4ea8-bc07-4b8d950f4477","Printer Technician"
"0526716b-113d-4c15-b2c8-68e3c22b9f80","Authentication Policy Administrator"
"fdd7a751-b60b-444a-984c-02652fe8fa1c","Groups Administrator"
"11648597-926c-4cf3-9c36-bcebb0ba8dcc","Power Platform Administrator"
"e3973bdf-4987-49ae-837a-ba8e231c7286","Azure DevOps Administrator"
"8ac3fc64-6eca-42ea-9e69-59f4c7b60eb2","Hybrid Identity Administrator"
"2b745bdf-0803-4d80-aa65-822c4493daac","Office Apps Administrator"
"d37c8bed-0711-4417-ba38-b4abe66ce4c2","Network Administrator"
"31e939ad-9672-4796-9c2e-873181342d2d","Insights Business Leader"
"3d762c5a-1b6c-493f-843e-55a3b42923d4","Teams Devices Administrator"
"c430b396-e693-46cc-96f3-db01bf8bb62a","Attack Simulation Administrator"
"9c6df0f2-1e7c-4dc3-b195-66dfbd24aa8f","Attack Payload Author"
"75934031-6c7e-415a-99d7-48dbd49e875e","Usage Summary Reports Reader"
"b5a8dcf3-09d5-43a9-a639-8e29ef291470","Knowledge Administrator"
"744ec460-397e-42ad-a462-8b3f9747a02c","Knowledge Manager"
"8329153b-31d0-4727-b945-745eb3bc5f31","Domain Name Administrator"
"d2562ede-74db-457e-a7b6-544e236ebb61","AI Administrator"
"1fe13547-53f6-408d-ac04-7f8eed167b38","AI Reader"
"8424c6f0-a189-499e-bbd0-26c1753c96d4","Attribute Definition Administrator"
"58a13ea3-c632-46ae-9ee0-9c0d43cd7f3d","Attribute Assignment Administrator"
"1d336d2c-4ae8-42ef-9711-b3604ce3fc2c","Attribute Definition Reader"
"ffd52fa5-98dc-465c-991d-fc073eb59f8f","Attribute Assignment Reader"
"31392ffb-586c-42d1-9346-e59415a2cc4e","Exchange Recipient Administrator"
"45d8d3c5-c802-45c6-b32a-1d70b5e1e86e","Identity Governance Administrator"
"892c5842-a9a6-463a-8041-72aa08ca3cf6","Cloud App Security Administrator"
"32696413-001a-46ae-978c-ce0f6b3620d2","Windows Update Deployment Administrator"
"11451d60-acb2-45eb-a7d6-43d0f0125c13","Windows 365 Administrator"
"3f1acade-1e04-4fbc-9b69-f0302cd84aef","Edge Administrator"
"810a2642-a034-447f-a5e8-41beaa378541","Yammer Administrator"
"25a516ed-2fa0-40ea-a2d0-12923a21473a","Authentication Extensibility Administrator"
"e300d9e7-4a2b-4295-9eff-f1c78b36cc98","Virtual Visits Administrator"
"25df335f-86eb-4119-b717-0ff02de207e9","Insights Analyst"
"1501b917-7653-4ff9-a4b5-203eaf33784f","Microsoft Hardware Warranty Administrator"
"281fe777-fb20-4fbb-b7a3-ccebce5b0d96","Microsoft Hardware Warranty Specialist"
"112ca1a2-15ad-4102-995e-45b0bc479a6a","Tenant Creator"
"59d46f88-662b-457b-bceb-5c3809e5908f","Lifecycle Workflows Administrator"
"92b086b3-e367-4ef2-b869-1de128fb986e","Viva Goals Administrator"
"27460883-1df1-4691-b032-3b79643e5e63","User Experience Success Manager"
"af78dc32-cf4d-46f9-ba4e-4428526346b5","Permissions Management Administrator"
"507f53e4-4e52-4077-abd3-d2e1558b6ea2","Organizational Messages Writer"
"ac434307-12b9-4fa1-a708-88bf58caabc1","Global Secure Access Administrator"
"87761b17-1ed2-4af3-9acd-92a150038160","Viva Pulse Administrator"
"dd13091a-6207-4fc0-82ba-3641e056ab95","Extended Directory User Administrator"
"5b784334-f94b-471a-a387-e7219fc49ca2","Attribute Log Administrator"
"9c99539d-8186-4804-835f-fd51ef9e2dcd","Attribute Log Reader"
"1076ac91-f3d9-41a7-a339-dcdf5f480acc","Teams Reader"
"aa38014f-0993-46e9-9b45-30501a20909d","Teams Telephony Administrator"
"963797fb-eb3b-4cde-8ce3-5878b3f32a3f","Dynamics 365 Business Central Administrator"
"8c8b803f-96e1-4129-9349-20738d9f9652","Microsoft 365 Migration Administrator"
"1a7d78b6-429f-476b-b8eb-35fb715fffd4","SharePoint Embedded Administrator"
"92ed04bf-c94a-4b82-9729-b799a7a4c178","Organizational Branding Administrator"
"e48398e2-f4bb-4074-8f31-4586725e205b","Organizational Messages Approver"
"ee67aa9c-e510-4759-b906-227085a7fd4d","Microsoft Graph Data Connect Administrator"
"1707125e-0aa2-4d4d-8655-a7c786c76a25","Microsoft 365 Backup Administrator"
"a92aed5d-d78a-4d16-b381-09adb37eb3b0","On Premises Directory Sync Account"
"422218e4-db15-4ef9-bbe0-8afb41546d79","Attribute Provisioning Reader"
"ecb2c6bf-0ab6-418e-bd87-7986f8d63bbe","Attribute Provisioning Administrator"
"843318fb-79a6-4168-9e6f-aa9a07481cc4","Global Secure Access Log Reader"
"9d70768a-0cbc-4b4c-aea3-2e124b2477f4","Organizational Data Source Administrator"
"024906de-61e5-49c8-8572-40335f1e0e10","People Administrator"
"2ea5ce4c-b2d8-4668-bd81-3680bd2d227a","IoT Device Administrator"
"0ec3f692-38d6-4d14-9e69-0377ca7797ad","Viva Glint Tenant Administrator"
"78b0ccd1-afc2-4f92-9116-b41aedd09592","Places Administrator"
"9d3e04ba-3ee4-4d1b-a3a7-9aef423a09be","SharePoint Backup Administrator"
"49eb8f75-97e9-4e37-9b2b-6c3ebfcffa31","Exchange Backup Administrator"
"e93e3737-fa85-474a-aee4-7d3fb86510f3","Dragon Administrator"
"99009c4a-3b3f-4957-82a9-9d35e12db77e","SharePoint Advanced Management Administrator"
"2fe872fb-daa8-4afc-8f6c-53c4565cfef4","Teams External Collaboration Administrator"
"adb2368d-a9be-41b5-8667-d96778e081b0","Agent ID Developer"
"0b00bede-4072-4d22-b441-e7df02a1ef63","Authentication Extensibility Password Administrator"
"6b942400-691f-4bf0-9d12-d8a254a2baf5","Agent Registry Administrator"
"db506228-d27e-4b7d-95e5-295956d6615f","Agent ID Administrator"
"e07494ad-1654-4dd2-922e-6f81a71bf00f","Purview Workload Content Reader"
"02d5655b-c1cf-4e5f-98da-5fb919085bf6","Purview Workload Content Writer"
"3f04f91a-4ad7-4bd3-bcfa-49882ea1a88a","Purview Workload Content Administrator"
"fc8ad4e2-40e4-4724-8317-bcda7503ecbf","Customer Delegated Admin Relationship Administrator"
"f42252d9-5400-4d7b-b9ef-cc582dbb8577","Entra Backup Reader"
"b6a27b2b-f905-4b2e-81b5-0d90e0ef1fdb","Entra Backup Administrator"
"1981f584-96e9-4a6f-95b0-f522373f8fae","Tenant Governance Administrator"
"e0a4caa6-fe82-443f-b92f-d87341d17b2e","Tenant Governance Reader"
"b8e31d83-1534-480f-9b10-0338ded51b7e","Tenant Governance Relationship Administrator"
"124577f8-48ed-456a-839f-13b419002e33","Tenant Governance Relationship Reader"
"d35481f7-cda1-4fa2-8344-5a21f7f3724d","Entra Customer Lockbox Approver"
"58f930cc-fcf4-4152-852c-1d7dbf502139","Entra SOC Identity Responder"
